car_title,location,year,price,kilometers,transmission_type,number_of_doors,source,model,color,contact_number,brand
نيسان اكستيرا 2013,"Al Amarat, Muscat•",2013,"OMR 3,750",400,Automatic,'4/5,GCC,Xterra,Silver,N/A,Nissan
Honda Accord 2018,"Ansab, Muscat•",2018,"OMR 5,750",50000,Automatic,'4/5,US,Accord,Gold,N/A,Honda
Toyota Corolla 2021,"Ansab, Muscat•",2021,"OMR 4,800",71000,Automatic,'4/5,US,Corolla,Silver,N/A,Toyota
Hyundai Tucson 2016,"Al Wadi Al Kabir, Muscat•",2016,"OMR 3,500",150000,Automatic,'4/5,GCC,Tucson,Silver,N/A,Hyundai
شيفروليه سبارك 2007,"Al Maabilah, Muscat•",2007,OMR 550,10000,Manual,'4/5,GCC,Spark,White,N/A,Chevrolet
Jeep Compass TrailHawk 2019 Low Mileage,"Azaiba, Muscat•",2019,"OMR 6,900",54000,Automatic,'4/5,GCC,Compass,Grey,N/A,Jeep
جيب رانجلر للبيع Jeep wrangler for sale,"Al Khuwair, Muscat•",2008,"OMR 2,500",-,Automatic,'2/3,GCC,Wrangler,Black,N/A,Unknown
Nissan Rogue 2021,"Qurum, Muscat•",2021,"OMR 6,300",33000,Automatic,'4/5,US,Rogue,White,N/A,Nissan
نيسان باثفايندر 2012,"Al Maabilah, Muscat•",2012,"OMR 2,300",180,Automatic,'4/5,GCC,Pathfinder,White,N/A,Nissan
نيسان التيما 2017,"Al Seeb, Muscat•",2017,"OMR 2,900",209,Automatic,'4/5,US,Altima,Grey,N/A,Nissan
كيا ريو 2016,"Al Maabilah, Muscat•",2016,"OMR 1,900",144,Automatic,N/A,US,Rio,White,N/A,Unknown
كيا كادينزا 2014,"Barka, Al Batinah•",2014,"OMR 2,600",1,Automatic,'4/5,Company Source,Cadenza,Brown,N/A,Kia
رينو فلوينس 2014,"Suwaiq, Al Batinah•",2014,"OMR 1,400",25000,Automatic,N/A,GCC,Fluence,White,N/A,Unknown
Honda Pilot 2012 CRUISE,"Al Ghubrah, Muscat•",2012,"OMR 3,500",300000,Automatic,'4/5,GCC,Pilot,Grey,N/A,Honda
Toyota Yaris 2009,"Al Rustaq, Al Batinah•",2009,"OMR 1,550",235000,Automatic,'2/3,GCC,Yaris,White,N/A,Toyota
تويوتا اوريون 2009,"Al Seeb, Muscat•",2009,"OMR 1,500",520000,Automatic,N/A,GCC,Aurion,White,N/A,Unknown
Renault Duster 2015,"Al Wadi Al Kabir, Muscat•",2015,OMR 890,235000,Automatic,'4/5,GCC,Duster,Burgundy,N/A,Renault
spar pase Lexus ES-Series 2003,"Al Maabilah, Muscat•",2003,OMR 300,482368,Automatic,N/A,US,ES-Series,Silver,N/A,Unknown
2014 model Mazda 2 full automatic. good condition,"Al Wadi Al Kabir, Muscat•",2014,"OMR 1,150",245000,Automatic,'4/5,GCC,2,Gold,N/A,Mazda
Mitsubishi Lancer 2008,"Ghala, Muscat•",2008,OMR 750,250,Automatic,N/A,GCC,Lancer,White,N/A,Unknown
Kia Sportage 2018 2.4 L,"Azaiba, Muscat•",2018,"OMR 6,500",150000,Automatic,N/A,GCC,Sportage,White,N/A,Unknown
Chevrolet Tahoe 2020 LT,"Al Khuwair, Muscat•",2020,"OMR 9,400",35000,Automatic,'4/5,US,Tahoe,Black,N/A,Chevrolet
Suzuki Vitara 2016,"Al Wadi Al Kabir, Muscat•",2016,"OMR 2,800",125000,Automatic,N/A,GCC,Vitara,White,N/A,Unknown
تويوتا كامرى 2017,"Sumail, Al Dakhiliya•",2017,"OMR 3,700",125000,Automatic,'4/5,US,Camry,Red,N/A,Toyota
Mitsubishi Lancer 2008,"Ghala, Muscat•",2008,OMR 750,250,Automatic,N/A,GCC,Lancer,White,N/A,Unknown
Honda CR-V 2008,"Al Wadi Al Kabir, Muscat•",2008,"OMR 1,850",229000,Automatic,'4/5,GCC,CR-V,White,N/A,Unknown
Suzuki Ciaz 2016,"Azaiba, Muscat•",2016,"OMR 1,650",200000,Automatic,'4/5,GCC,Ciaz,Brown,N/A,Suzuki
هوندا أكورد 2009,"Al Maabilah, Muscat•",2009,"OMR 1,600",200000,Automatic,N/A,GCC,Accord,White,N/A,Unknown
شيفروليه بيك اب 2022,"Qurum, Muscat•",2022,"OMR 13,500",-,Automatic,'2/3,GCC,Pickup,Other,N/A,Unknown
BYD Yuan 2010,"Al Maabilah, Muscat•",2010,OMR 500,3,Manual,'4/5,GCC,F3,Black,N/A,BYD
Mazda 3 2008 manual,"Ruwi, Muscat•",2008,OMR 800,245000,Manual,'4/5,Company Source,3,White,N/A,Mazda
لاند روفر رنج روفر 2022,"Qurum, Muscat•",2022,"OMR 56,500",-,Automatic,'4/5,GCC,Range Rover,White,N/A,Unknown
مازدا 3 2006,"Al Maabilah, Muscat•",2006,OMR 800,200000,Automatic,'4/5,GCC,3,Grey,N/A,Mazda
Mitsubishi Pajero 2019 3.8L,"Qurum, Muscat•",2019,"OMR 7,200",162000,Automatic,'4/5,GCC,Pajero,White,N/A,Mitsubishi
هيونداي توكسن 2012,"Azaiba, Muscat•",2012,"OMR 1,900",260,Automatic,'4/5,GCC,Tucson,Black,N/A,Hyundai
Nissan X-Trail 2008,"Al Hamriyah, Muscat•",2008,"OMR 1,200",265000,Automatic,'4/5,GCC,X-Trail,Gold,N/A,Unknown
Nissan Sunny 2012,"Qurum, Muscat•",2012,"OMR 1,200",200000,Automatic,N/A,GCC,Sunny,White,N/A,Nissan
Audi A6 2020,"Al Hail, Muscat•",2020,"OMR 10,200",137000,Automatic,'4/5,GCC,A6,Black,N/A,Audi
هوندا أكورد 2023,"Al Maabilah, Muscat•",2023,"OMR 5,200",23,Automatic,'4/5,US,Accord,Silver,N/A,Honda
Honda Civic 2003,"Ruwi, Muscat•",2003,OMR 750,300000,Automatic,'4/5,GCC,Civic,Gold,N/A,Honda
Nissan Altima 2013 SL,"Ghala, Muscat•",2013,"OMR 1,650",186000,Automatic,'4/5,US,Altima,Grey,N/A,Nissan
Nissan Versa 2007,"Al Khoud, Muscat•",2007,OMR 750,220631,Automatic,'4/5,US,Versa,Silver,N/A,Nissan
Mitsubishi Pajero 2017,"Al Ghubrah, Muscat•",2017,"OMR 4,300",165000,Automatic,'4/5,GCC,Pajero,White,N/A,Mitsubishi
هيونداي سوناتا 2015,"Al Khoud, Muscat•",2015,"OMR 2,400",195800,Automatic,N/A,Canada,Sonata,Black,N/A,Unknown
Toyota Yaris 2017,"Azaiba, Muscat•",2017,"OMR 2,750",190000,Automatic,'4/5,GCC,Yaris,Brown,N/A,Toyota
Nissan Altima 2007,"Ruwi, Muscat•",2007,OMR 700,45000,Automatic,'4/5,US,Altima,Green,N/A,Nissan
نيسان فيرسا 2011,"Saham, Al Batinah•",2011,"OMR 1,100",200000,Automatic,N/A,Company Source,Versa,White,N/A,Unknown
Suzuki Swift 2012,"Al Amarat, Muscat•",2012,"OMR 1,450",200000,Automatic,'4/5,Company Source,Swift,Red,N/A,Suzuki
Toyota Yaris 2022,"Ruwi, Muscat•",2022,"OMR 4,500",82265,Automatic,'2/3,GCC,Yaris,White,N/A,Toyota
Mitsubishi Galant 2009 Galant,"Al Wadi Al Kabir, Muscat•",2009,OMR 950,198000,Automatic,'4/5,Company Source,Galant,Silver,N/A,Mitsubishi
Jetour T2 2025,"Bosher, Muscat•",2025,"OMR 12,500",23000,Automatic,'4/5,GCC,T2,Black,N/A,Jetour
Kia Sorento 2015,"Ruwi, Muscat•",2015,"OMR 2,950",210251,Automatic,'4/5,GCC,Sorento,White,N/A,Kia
Ford Figo 2016 Urgent Sale,"Al Khoud, Muscat•",2016,"OMR 1,200",240850,Automatic,'4/5,GCC,Figo,Silver,N/A,Ford
Land Rover,"Ruwi, Muscat•",2011,"OMR 1,800",144000,Automatic,'4/5,GCC,LR2,Red,N/A,Land Rover
Jeep Wrangler 2017,"Al Khoud, Muscat•",2017,"OMR 5,400",129,Automatic,N/A,GCC,Wrangler,White,N/A,Unknown
Nissan Altima 2016 - Oman car,"Al Khuwair, Muscat•",2016,"OMR 2,300",200000,Automatic,N/A,GCC,Altima,Brown,N/A,Unknown
Toyota Camry 2008 for sale,"Ibra, Al Sharqiya•",2008,"OMR 1,350",290000,Automatic,N/A,US,Camry,Silver,N/A,Unknown
hyundai elentra 2016,"Al Hail, Muscat•",2016,"OMR 2,450",1881,Automatic,'4/5,GCC,Elantra,Brown,N/A,Hyundai
شيفروليه كمارو 2010,"Al Khoud, Muscat•",2010,"OMR 2,300",200000,Automatic,N/A,GCC,Camaro,Black,N/A,Unknown
Nissan Sentra 2015 SV,"Al Khuwair, Muscat•",2015,"OMR 2,000",167000,Automatic,'4/5,GCC,Sentra,Beige,N/A,Nissan
تويوتا كورولا 2020,"Azaiba, Muscat•",2020,"OMR 5,400",9000,Automatic,'4/5,US,Corolla,White,N/A,Toyota
Hyundai Santa Fe 2010,"Nizwa, Al Dakhiliya•",2010,"OMR 1,800",350000,Automatic,'4/5,GCC,Santa Fe,Blue,N/A,Hyundai
Mitsubishi Lancer 2006,"Azaiba, Muscat•",2006,OMR 750,628000,Automatic,'4/5,GCC,Lancer,Silver,N/A,Mitsubishi
Nissan X-Trail 2012,"Al Hail, Muscat•",2012,"OMR 1,450",290000,Automatic,'4/5,GCC,X-Trail,Gold,N/A,Unknown
نيسان اكستيرا 2012,"Al Seeb, Muscat•",2012,"OMR 3,700",350,Automatic,'4/5,GCC,Xterra,Grey,N/A,Nissan
Nissan Tiida 2007,"Al Hail, Muscat•",2007,OMR 850,459689,Automatic,'4/5,Company Source,Tiida,Brown,N/A,Nissan
Nissan Armada 2020,"Ruwi, Muscat•",2020,"OMR 8,500",50000,Automatic,'4/5,US,Armada,Black,N/A,Nissan
Mitsubishi Lancer 2006,"Ghala, Muscat•",2006,OMR 750,629728,Automatic,'4/5,Company Source,Lancer,Silver,N/A,Mitsubishi
Volkswagen Tiguan 2014,"Bosher, Muscat•",2014,"OMR 2,850",175000,Automatic,N/A,GCC,Tiguan,Black,N/A,Unknown
جيب رانجلر 2016,"Al Amarat, Muscat•",2016,"OMR 5,800",187,Automatic,'2/3,GCC,Wrangler,Silver,N/A,Jeep
تويوتا كامرى 2024,"Al Amarat, Muscat•",2024,"OMR 1,350",1,Automatic,'4/5,US,Camry,White,N/A,Toyota
Hyundai Elantra 2018,"Al Wadi Al Kabir, Muscat•",2018,"OMR 3,500",89000,Automatic,'4/5,GCC,Elantra,Burgundy,N/A,Hyundai
هوندا سيفيك 2022,"Al Amarat, Muscat•",2022,"OMR 5,400",59,Automatic,'4/5,Canada,Civic,Grey,N/A,Honda
Land Rover Discovery Sports HSE Luxury 7 Seater,"Al Khoud, Muscat•",2016,"OMR 4,900",132000,Automatic,'4/5,US,Discovery,White,N/A,Land Rover
هوندا أكورد 2007,"Muscat - Other, Muscat•",2007,"OMR 1,400",400,Automatic,'4/5,GCC,Accord,Silver,N/A,Honda
Honda Civic 2008 GCC,"Ansab, Muscat•",2008,"OMR 1,100",334000,Automatic,N/A,GCC,Civic,Silver,N/A,Unknown
Honda Civic 2006,"Sohar, Al Batinah•",2006,"OMR 1,050",500000,Automatic,N/A,GCC,Civic,Gold,N/A,Unknown
Nissan Altima 2011 S2.5,"Sohar, Al Batinah•",2011,"OMR 1,260",400000,Automatic,'4/5,US,Altima,Brown,N/A,Nissan
Mazda 6 2017,"Al Maabilah, Muscat•",2017,"OMR 3,300",280,Automatic,'4/5,US,6,Black,N/A,Mazda
Suzuki Swift 2006,"Ruwi, Muscat•",2006,OMR 850,350000,Automatic,'4/5,GCC,Swift,Red,N/A,Suzuki
Suzuki Swift 2011,"Al Khuwair, Muscat•",2011,"OMR 1,000",40000,Automatic,N/A,Company Source,Swift,Burgundy,N/A,Unknown
Chevrolet Cruze 2012,"Al Hail, Muscat•",2012,"OMR 1,000",183898,Automatic,'2/3,GCC,Cruze,Silver,N/A,Chevrolet
تويوتا 4 رانر 2019,"Al Maabilah, Muscat•",2019,"OMR 9,000",80000,Automatic,'4/5,US,4Runner,Grey,N/A,Toyota
Honda Civic 2010,"Al Amarat, Muscat•",2010,"OMR 2,000",470000,Automatic,'4/5,GCC,Civic,White,N/A,Honda
فورد فيوجن 2013,"Al Ghubrah, Muscat•",2013,"OMR 1,900",190,Automatic,'4/5,US,Fusion,Silver,N/A,Ford
تويوتا كورولا 2008,"Sohar, Al Batinah•",2008,"OMR 1,500",20000,Automatic,'2/3,GCC,Corolla,Red,N/A,Toyota
ليموزين للبيع,"Al Ghubrah, Muscat•",2006,"OMR 9,000",5000,Automatic,N/A,US,Other,White,N/A,Unknown
تويوتا كامرى 2021,"Suwaiq, Al Batinah•",2021,"OMR 6,500",-,Automatic,'4/5,US,Camry,Red,N/A,Unknown
Renault Safrane 2012,"Al Maabilah, Muscat•",2012,OMR 800,273000,Automatic,N/A,GCC,Safrane,White,N/A,Unknown
نيسان اكستيرا 2015,"Al Amarat, Muscat•",2015,"OMR 4,900",214000,Automatic,N/A,GCC,Xterra,Red,N/A,Unknown
Audi A3 2015,"Ruwi, Muscat•",2015,"OMR 4,000",127350,Automatic,'4/5,GCC,A3,Red,N/A,Audi
هيونداي سوناتا 2020,"Al Maabilah, Muscat•",2020,"OMR 3,900",94000,Automatic,N/A,US,Sonata,Black,N/A,Unknown
نيسان روغ 2021,"Al Amarat, Muscat•",2021,"OMR 6,800",127,Automatic,'2/3,US,Rogue,Gold,N/A,Nissan
Dodge Durango 2013,"Al Mawaleh, Muscat•",2013,"OMR 2,200",226,Automatic,'4/5,GCC,Durango,White,N/A,Dodge
Renault Duster 2013 98045853 WhatsApp,"Al Maabilah, Muscat•",2013,OMR 899,300000,Automatic,'4/5,GCC,Duster,White,N/A,Renault
Spacious Expat Owner Off Road DUSTER 98045853,"Al Seeb, Muscat•",2013,OMR 950,300000,Automatic,'4/5,GCC,Duster,White,N/A,Renault
تويوتا كامرى 2017,"Sumail, Al Dakhiliya•",2017,"OMR 4,400",277000,Automatic,'4/5,US,Camry,Red,N/A,Toyota
تويوتا ياريس 2013,"Manah, Al Dakhiliya•",2013,"OMR 1,900",141000,Automatic,N/A,US,Yaris,Silver,N/A,Unknown
Oman Agency GCC AWD No Accident Expat All Service Only Ford,"Sohar, Al Batinah•",2015,"OMR 2,600",260000,Automatic,N/A,GCC,Escape,Black,N/A,Unknown
Jeep Cherokee 2016,"Bosher, Muscat•",2016,"OMR 2,500",217337,Automatic,N/A,GCC,Cherokee,Black,N/A,Unknown
Hyundai Accent 2013,"Al Mawaleh, Muscat•",2013,"OMR 1,320",200000,Automatic,N/A,Canada,Accent,White,N/A,Unknown
Honda Accord 2022 USA,"Mutrah, Muscat•",2022,"OMR 7,700",29000,Automatic,'4/5,US,Accord,White,N/A,Honda
بينتلي بينتايجا 2017,"Madinat As Sultan Qaboos, Muscat•",2017,"OMR 36,500",75000,Automatic,'4/5,GCC,Bentayga,Beige,N/A,Bentley
Mitsubishi Pajero 2017,"Ruwi, Muscat•",2017,"OMR 5,650",109000,Automatic,'4/5,GCC,Pajero,Brown,N/A,Mitsubishi
Hyundai Elantra 2008,"Mutrah, Muscat•",2008,OMR 850,850,Automatic,'2/3,GCC,Elantra,White,N/A,Hyundai
Accent 2015 2016,"Qurum, Muscat•",2015,"OMR 1,700",245000,Automatic,'4/5,GCC,Accent,Blue,N/A,Hyundai
دودج رام 2019 بيج هورن بمواصفات نادره,"Al Maabilah, Muscat•",2019,"OMR 8,800",106850,Automatic,'4/5,US,Ram,White,N/A,RAM
Hyundai Tucson 2013,"Salalah, Dhofar•",2013,"OMR 2,250",18000,Automatic,'4/5,GCC,Tucson,Burgundy,N/A,Hyundai
Honda Odyssey 2019,"Qurum, Muscat•",2019,"OMR 6,300",144000,Automatic,'4/5,US,Odyssey,Silver,N/A,Honda
Maserati Grecale 2023,"Al Ghubrah, Muscat•",2023,"OMR 17,550",20,Automatic,'2/3,US,Grecale,White,N/A,Maserati
MINI John Cooper Works 2018,"Al Bustan, Muscat•",2018,"OMR 7,000",86000,Manual,N/A,US,John Cooper Works,Beige,N/A,Unknown
Higer Other 1999,"Al Rustaq, Al Batinah•",1999,OMR 470,-,Manual,'2/3,US,Other,Green,N/A,Unknown
BMW 7-Series 2017,"Darsait, Muscat•",2017,"OMR 10,300",113000,Automatic,'4/5,GCC,7-Series,Brown,N/A,Unknown
مرسيدس بنز 240/260/280 2006,"Al Maabilah, Muscat•",2006,OMR 950,2,Automatic,'4/5,GCC,240/260/280,Other,N/A,Mercedes
Hyundai Sonata 2015,"Al Khoud, Muscat•",2015,"OMR 2,450",170000,Automatic,'4/5,US,Sonata,Red,N/A,Hyundai
Nissan Sentra 2015,"Al Mawaleh, Muscat•",2015,"OMR 2,050",200000,Automatic,'4/5,GCC,Sentra,Beige,N/A,Nissan
Honda Civic 2007,"Sohar, Al Batinah•",2007,"OMR 1,080",345,Automatic,'4/5,GCC,Civic,Other,N/A,Honda
Honda Civic 2001,"Al Amarat, Muscat•",2001,OMR 600,300000,Automatic,'2/3,GCC,Civic,White,N/A,Honda
دودج رام 2018,"Al Maabilah, Muscat•",2018,"OMR 7,500",170,Automatic,'4/5,US,Ram,Other,N/A,RAM
هوندا أكورد 2005 EX,"Al Khaboura, Al Batinah•",2005,OMR 750,700000,Automatic,'4/5,GCC,Accord,Black,N/A,Honda
Honda Civic 2015 1.8 L White,"Ruwi, Muscat•",2015,"OMR 3,750",121844,Automatic,'4/5,GCC,Civic,White,N/A,Honda
Toyota Yaris 2021,"Nizwa, Al Dakhiliya•",2021,"OMR 4,600",60000,Automatic,'4/5,Company Source,Yaris,White,N/A,Toyota
نيسان التيما 2022,"Al Khoud, Muscat•",2022,"OMR 4,600",85000,Automatic,'4/5,US,Altima,White,N/A,Nissan
Hyundai Accent 2015,"Darsait, Muscat•",2015,"OMR 1,350",245000,Automatic,'4/5,GCC,Accent,Brown,N/A,Hyundai
Hyundai Santa Fe 2015,"Al Seeb, Muscat•",2015,"OMR 3,530",179000,Automatic,N/A,GCC,Santa Fe,White,N/A,Unknown
Mercedes-Benz GLB 250 2020,"Bosher, Muscat•",2020,"OMR 10,000",30000,Automatic,'4/5,US,GLB 250,Burgundy,N/A,Mercedes
Mazda CX-9 2010,"Al Khoud, Muscat•",2010,"OMR 3,000",330000,Automatic,'4/5,GCC,CX-9,Grey,N/A,Unknown
تويوتا ياريس 2007,"Suwaiq, Al Batinah•",2007,"OMR 1,150",500,N/A,N/A,N/A,N/A,N/A,N/A,Unknown
Toyota Camry 2007,"Al Maabilah, Muscat•",2007,"OMR 1,250",200000,N/A,N/A,N/A,N/A,N/A,N/A,Unknown
Toyota Yaris 2007,"Al Khuwair, Muscat•",2007,"OMR 1,100",27000,N/A,N/A,N/A,N/A,N/A,N/A,Unknown
Nissan Patrol Safari 2022,"Bosher, Muscat•",2022,"OMR 18,500",54300,N/A,N/A,N/A,N/A,N/A,N/A,Unknown
شيفروليه كروز 2015,"Al Maabilah, Muscat•",2014,OMR 880,111,N/A,N/A,N/A,N/A,N/A,N/A,Unknown
Nissan Altima 2018,"Ruwi, Muscat•",2018,"OMR 2,400",220000,N/A,N/A,N/A,N/A,N/A,N/A,Unknown
Hyundai Sonata 2018,"Al Ghubrah, Muscat•",2018,"OMR 3,000",145000,N/A,N/A,N/A,N/A,N/A,N/A,Unknown
Suzuki Swift Hatchback 2019,"Bosher, Muscat•",2019,"OMR 3,000",132000,N/A,N/A,N/A,N/A,N/A,N/A,Unknown
oman car 2016/2017,"The Wave (Almouj), Muscat•",2016,"OMR 4,700",100,N/A,N/A,N/A,N/A,N/A,N/A,Unknown
Mitsubishi Lancer 2014,"Al Wadi Al Kabir, Muscat•",2014,"OMR 1,750",170116,Automatic,'4/5,GCC,Lancer,Silver,N/A,Mitsubishi
Proton Gen-2 2008,"Al Ghubrah, Muscat•",2008,OMR 550,280000,Manual,N/A,GCC,Gen-2,White,N/A,Unknown
Suzuki SX4 2014,"Nizwa, Al Dakhiliya•",2014,"OMR 1,250",230000,Automatic,'4/5,GCC,SX4,White,N/A,Suzuki
2026 Changan ALSVIN premium,"Al Khuwair, Muscat•",2026,"OMR 1,200",-,Automatic,'4/5,GCC,ALSVIN,White,N/A,Unknown
لكزس آر سي إف 2015,"Al Seeb, Muscat•",2015,"OMR 5,000",85,Automatic,'2/3,US,RC F,Silver,N/A,Lexus
Hyundai Accent 2003,"Salalah, Dhofar•",2003,OMR 400,50000,Manual,N/A,Company Source,Accent,White,N/A,Unknown
2026 Changan ALSVIN premium,"Al Khuwair, Muscat•",2026,"OMR 1,200",-,Automatic,'4/5,GCC,ALSVIN,White,N/A,Unknown
لكزس آر سي إف 2015,"Al Seeb, Muscat•",2015,"OMR 5,000",85,Automatic,'2/3,US,RC F,Silver,N/A,Lexus
Hyundai Accent 2003,"Salalah, Dhofar•",2003,OMR 400,50000,Manual,N/A,Company Source,Accent,White,N/A,Unknown
Daihatsu Sirion 2008,"Madinat As Sultan Qaboos, Muscat•",2008,OMR 850,150000,Automatic,'2/3,GCC,Sirion,White,N/A,Kia
شيفروليه كروز 2017,"Al Wadi Al Kabir, Muscat•",2017,"OMR 1,200",224000,Automatic,'4/5,GCC,Cruze,White,N/A,Chevrolet
شيفروليه كروز 2017,"Al Wadi Al Kabir, Muscat•",2017,"OMR 1,200",224000,Automatic,'4/5,GCC,Cruze,White,N/A,Chevrolet
إنفينيتي كيو إكس 60 2016,"Nizwa, Al Dakhiliya•",2016,"OMR 4,600",155000,Automatic,N/A,US,QX60,White,N/A,Unknown
رام ٢٠١٧ للبيع,"Nizwa, Al Dakhiliya•",2017,"OMR 4,900",105000,Automatic,N/A,US,Ram,White,N/A,Unknown
هيونداي كونا 2019 for sale Oman car,"Barka, Al Batinah•",2019,"OMR 4,600",64,Automatic,'4/5,GCC,Kona,Blue,N/A,Hyundai
Ford Mustang 2018,"Azaiba, Muscat•",2018,"OMR 4,400",30000,Automatic,'2/3,US,Mustang,Burgundy,N/A,Ford
Hyundai Santa Fe 2010,"Al Khuwair, Muscat•",2010,"OMR 1,850",342000,Automatic,'4/5,US,Santa Fe,Purple,N/A,Hyundai
Hyundai Tucson 2023 Royal Plus,"Bosher, Muscat•",2023,"OMR 8,800",72000,Automatic,'4/5,Company Source,Tucson,Beige,N/A,Hyundai
Suzuki Dzire 2013,"Ruwi, Muscat•",2013,"OMR 1,100",245000,Automatic,'4/5,GCC,Dzire,Gold,N/A,Suzuki
Lexus IS 350 2015,"Bosher, Muscat•",2015,"OMR 4,800",230,Automatic,'4/5,GCC,IS 350,White,N/A,Lexus
تويوتا كورولا 2018,"Ansab, Muscat•",2018,"OMR 3,500",88000,Automatic,'4/5,Canada,Corolla,Silver,N/A,Toyota
هوندا أوديسى 2022,"Al Hail, Muscat•",2021,"OMR 8,900",85000,Automatic,'4/5,GCC,Odyssey,White,N/A,Honda
شيفروليه سلفرادو 2021,"Sumail, Al Dakhiliya•",2021,"OMR 9,300",86000,Automatic,'4/5,US,Silverado,Grey,N/A,Chevrolet
Subaru Forester 2013,"Al Khuwair, Muscat•",2013,"OMR 1,950",173000,Automatic,'4/5,GCC,Forester,Grey,N/A,Subaru
Mitsubishi Pajero 2010,"Al Maabilah, Muscat•",2010,"OMR 2,500",172500,Automatic,'4/5,Company Source,Pajero,Silver,N/A,Mitsubishi
Hyundai Elantra 2013,"Al Hail, Muscat•",2013,"OMR 1,650",200000,Automatic,'4/5,GCC,Elantra,Other,N/A,Hyundai
فولفو أس 40 2011,"Al Buraimi, Al Buraimi•",2011,"OMR 1,200",250,Automatic,'4/5,GCC,s40,Silver,N/A,Volvo
Kia Optima 2012,"Al Buraimi, Al Buraimi•",2012,"OMR 1,750",-,Automatic,'4/5,GCC,Optima,White,N/A,Unknown
مازدا 3 2021,"Al Amarat, Muscat•",2021,"OMR 6,500",100,Automatic,'4/5,US,3,White,N/A,Mazda
Toyota Prado 2021,"Salalah, Dhofar•",2021,"OMR 14,850",92000,Automatic,'4/5,GCC,Prado,White,N/A,Toyota
جيب جراند شيروكى 2011,"Bosher, Muscat•",2011,"OMR 2,400",300000,Automatic,'4/5,GCC,Grand Cherokee,Black,N/A,Jeep
جيب رانجلر 2018,"Al Maabilah, Muscat•",2018,"OMR 4,900",21000,Manual,N/A,US,Wrangler,Grey,N/A,Unknown
رينو داستر 2015,"Nakhl, Al Batinah•",2015,"OMR 1,100",241,Automatic,'2/3,GCC,Duster,Brown,N/A,Renault
لكزس ES 350 2007,"Suwaiq, Al Batinah•",2007,"OMR 1,700",29000,Automatic,'4/5,Company Source,ES 350,Silver,N/A,Lexus
Jeep Cherokee 2014,"Al Hail, Muscat•",2014,"OMR 2,400",108000,Automatic,'4/5,GCC,Cherokee,Grey,N/A,Jeep
Hyundai Sonata 2018,"Al Ghubrah, Muscat•",2018,"OMR 3,100",145000,Automatic,'4/5,US,Sonata,Black,N/A,Hyundai
Nissan Sunny 2013 urgent sale,"Al Kamil and Al Waafi, Al Sharqiya•",2013,"OMR 1,100",200000,Automatic,N/A,Company Source,Sunny,White,N/A,Unknown
BMW X7 2020,"Al Hail, Muscat•",2020,"OMR 21,500",168000,Automatic,'4/5,GCC,X7,Green,N/A,BMW
هيونداي إلينترا 2020,"Al Seeb, Muscat•",2020,"OMR 3,550",90000,Automatic,N/A,US,Elantra,White,N/A,Unknown
Hyundai Sonata 2015,"Azaiba, Muscat•",2015,"OMR 1,850",154661,Automatic,N/A,US,Sonata,Brown,N/A,Unknown
Kia Carens 2011,"Mutrah, Muscat•",2011,"OMR 1,100",244000,Automatic,'4/5,GCC,Carens,White,N/A,Kia
Toyota Corolla 2009,"Darsait, Muscat•",2009,"OMR 1,500",200000,Automatic,'4/5,GCC,Corolla,Silver,N/A,Toyota
Mercedes-Benz C 300 2023,"Ansab, Muscat•",2023,"OMR 18,800",21000,Automatic,'4/5,US,C 300,White,N/A,Mercedes
Renault Duster 2014,"Barka, Al Batinah•",2014,OMR 900,200000,Automatic,'4/5,Europe,Duster,Grey,N/A,Renault
Subaru Impreza 2007,"Al Hamriyah, Muscat•",2007,OMR 650,300000,Automatic,'2/3,GCC,Impreza,Other,N/A,Subaru
كيا اوبتيما 2014,"Al Seeb, Muscat•",2014,"OMR 1,800",247,Automatic,'4/5,GCC,Optima,Silver,N/A,Kia
مرسيدس بنز 300/350/380 2012,"Al Rusayl, Muscat•",2012,"OMR 2,000",20000,Automatic,'4/5,US,300/350/380,White,N/A,Mercedes
Urgent Sale Toyota Corolla 1994 Saloon in Sohar,"Sohar, Al Batinah•",1994,OMR 575,200000,Manual,'4/5,GCC,Corolla,White,N/A,Toyota
جيب رانجلر 2023,"Al Maabilah, Muscat•",2023,"OMR 9,000",70000,Automatic,'4/5,US,Wrangler,Silver,N/A,Jeep
Tank 500 2024,"Salalah, Dhofar•",2024,"OMR 15,700",29000,Automatic,'4/5,GCC,500,Beige,N/A,Tank
Hyundai Tucson 2015,"Al Wadi Al Kabir, Muscat•",2015,"OMR 2,399",201241,Automatic,'4/5,GCC,Tucson,Brown,N/A,Hyundai
Nissan Tiida 2014,"Ruwi, Muscat•",2014,"OMR 1,950",221036,Automatic,'4/5,GCC,Tiida,Black,N/A,Nissan
Ford F150 2018,"Al Hail, Muscat•",2018,"OMR 9,800",170000,Automatic,N/A,US,F150,White,N/A,Unknown
Hyundai Accent 2014,"Al Ghubrah, Muscat•",2014,"OMR 1,700",152000,Automatic,N/A,GCC,Accent,Silver,N/A,Unknown
دودج تشالنجر 2018,"Al Khaboura, Al Batinah•",2018,"OMR 5,500",93000,Automatic,'2/3,US,Challenger,Grey,N/A,Dodge
دودج تشالنجر 2018,"Al Khaboura, Al Batinah•",2018,"OMR 5,500",97000,Automatic,'2/3,US,Challenger,Grey,N/A,Dodge
